library,postcode,latitude,longitude,county,region,country
Kincorth Library,AB12 5NA,57.12082,-2.10409,Aberdeen,Scotland,United Kingdom
Aberdeen Central Library,AB25 1GW,57.14791,-2.10586,Aberdeen,Scotland,United Kingdom
Airyhall Library,AB15 7RF,57.13222,-2.14921,Aberdeen,Scotland,United Kingdom
Bridge of Don Library,AB22 8HH,57.18125,-2.09996,Aberdeen,Scotland,United Kingdom
Bucksburn Library,AB21 9DG,57.17664,-2.18226,Aberdeen,Scotland,United Kingdom
Cornhill Library,AB16 5UT,57.15923,-2.14225,Aberdeen,Scotland,United Kingdom
Cove Library,AB12 3HE,57.10415,-2.0858,Aberdeen,Scotland,United Kingdom
Culter Library,AB14 0UJ,57.09594,-2.26704,Aberdeen,Scotland,United Kingdom
Cults Library and Learning Centre,AB15 9SX,57.11729,-2.17719,Aberdeen,Scotland,United Kingdom
Dyce Library,AB21 7BD,57.20584,-2.18608,Aberdeen,Scotland,United Kingdom
Ferryhill Library,AB11 6UP,57.13719,-2.11229,Aberdeen,Scotland,United Kingdom
Kaimhill Library,AB10 7HR,57.12365,-2.12774,Aberdeen,Scotland,United Kingdom
Mastrick Library,AB16 6TR,57.15622,-2.16336,Aberdeen,Scotland,United Kingdom
Northfield Library,AB16 7LL,57.16593,-2.16212,Aberdeen,Scotland,United Kingdom
Tillydrone Library,AB24 2UY,57.17176,-2.11578,Aberdeen,Scotland,United Kingdom
Torry Library,AB11 9NJ,57.13656,-2.08562,Aberdeen,Scotland,United Kingdom
Woodside Library,AB24 4DX,57.17036,-2.1286,Aberdeen,Scotland,United Kingdom
Aberchirder Library,AB54 7TB,57.56106,-2.6264,Aberdeenshire,Scotland,United Kingdom
Aberdeenshire Library and Information Service Library Headquarters,AB51 0GN,57.33202,-2.32582,Aberdeenshire,Scotland,United Kingdom
Aboyne Library,AB34 5JN,57.07488,-2.79352,Aberdeenshire,Scotland,United Kingdom
Alford Library,AB33 8TY,57.23236,-2.70735,Aberdeenshire,Scotland,United Kingdom
Ballater Library,AB35 5QB,57.04982,-3.04023,Aberdeenshire,Scotland,United Kingdom
Balmedie Library,AB23 8YF,57.25028,-2.05669,Aberdeenshire,Scotland,United Kingdom
Banchory Library,AB31 5SU,57.05066,-2.50375,Aberdeenshire,Scotland,United Kingdom
Banff Library,AB45 1AE,57.66383,-2.52301,Aberdeenshire,Scotland,United Kingdom
Boddam Library,AB42 3AX,57.47093,-1.77874,Aberdeenshire,Scotland,United Kingdom
Bracoden Library,AB45 3HA,57.66597,-2.32269,Aberdeenshire,Scotland,United Kingdom
Cairnbulg/Inverallochy Library,AB43 8WQ,57.67591,-1.93402,Aberdeenshire,Scotland,United Kingdom
Cruden Bay Library,AB42 0NL,57.41679,-1.86128,Aberdeenshire,Scotland,United Kingdom
Ellon Library,AB41 9AE,57.36517,-2.07273,Aberdeenshire,Scotland,United Kingdom
Fettercairn Library,AB30 1TH,56.85216,-2.5756,Aberdeenshire,Scotland,United Kingdom
Fraserburgh Library,AB43 9PN,57.68832,-2.01058,Aberdeenshire,Scotland,United Kingdom
Huntly Library,AB54 8BP,57.44851,-2.7857,Aberdeenshire,Scotland,United Kingdom
Insch Library,AB52 6JJ,57.34088,-2.61228,Aberdeenshire,Scotland,United Kingdom
Inverbervie Library,DD10 0RU,56.84546,-2.28202,Aberdeenshire,Scotland,United Kingdom
Inverurie Library,AB51 3SN,57.28456,-2.3741,Aberdeenshire,Scotland,United Kingdom
Kemnay Library,AB51 5RN,57.23489,-2.44293,Aberdeenshire,Scotland,United Kingdom
Kintore Library,AB51 0RU,57.23473,-2.34891,Aberdeenshire,Scotland,United Kingdom
Macduff Library,AB44 1LR,57.66946,-2.49247,Aberdeenshire,Scotland,United Kingdom
Mearns Community Library,AB30 1ZJ,56.83585,-2.45949,Aberdeenshire,Scotland,United Kingdom
Meldrum Library,AB51 0GN,57.33202,-2.32582,Aberdeenshire,Scotland,United Kingdom
Mintlaw Library,AB42 5GP,57.52376,-2.00986,Aberdeenshire,Scotland,United Kingdom
New Pitsligo Library,AB43 6NH,57.58876,-2.19512,Aberdeenshire,Scotland,United Kingdom
Newmachar Library,AB21 0WB,57.26502,-2.18709,Aberdeenshire,Scotland,United Kingdom
Newtonhill Library,AB39 3UL,57.03093,-2.14848,Aberdeenshire,Scotland,United Kingdom
Peterhead Library,AB42 1QD,57.50679,-1.7821,Aberdeenshire,Scotland,United Kingdom
Portlethen Library,AB12 4QL,57.05941,-2.13113,Aberdeenshire,Scotland,United Kingdom
Portsoy Library,AB45 2RH,57.68234,-2.68776,Aberdeenshire,Scotland,United Kingdom
Rosehearty Library,AB43 7JL,57.69498,-2.1186,Aberdeenshire,Scotland,United Kingdom
Stonehaven Library,AB39 2ET,56.96358,-2.2119,Aberdeenshire,Scotland,United Kingdom
Strichen Library,AB43 6ST,57.58715,-2.09359,Aberdeenshire,Scotland,United Kingdom
Turriff Library,AB53 4AE,57.53927,-2.46046,Aberdeenshire,Scotland,United Kingdom
Westhill Library,AB32 6FY,57.15524,-2.27838,Aberdeenshire,Scotland,United Kingdom
Whitehills Library,AB45 2LT,57.67674,-2.57744,Aberdeenshire,Scotland,United Kingdom
Arbroath Library,DD11 1AH,56.55937,-2.57924,Angus,Scotland,United Kingdom
Brechin Library,DD9 7AD,56.73228,-2.65344,Angus,Scotland,United Kingdom
Carnoustie Library,DD7 6AN,56.50145,-2.70794,Angus,Scotland,United Kingdom
Forfar Library,DD8 1BA,56.64388,-2.89,Angus,Scotland,United Kingdom
Kirriemuir Library,DD8 4BS,56.67391,-3.00401,Angus,Scotland,United Kingdom
Monifieth Library,DD5 4AE,56.48172,-2.81756,Angus,Scotland,United Kingdom
Montrose Library,DD10 8PH,56.7104,-2.46874,Angus,Scotland,United Kingdom
Campbeltown Library,PA28 6EH,55.42834,-5.60101,Argyll and Bute,Scotland,United Kingdom
Cardross Library,G82 5PX,55.96291,-4.65398,Argyll and Bute,Scotland,United Kingdom
Dunoon Library,PA23 7HH,55.94734,-4.9241,Argyll and Bute,Scotland,United Kingdom
Helensburgh Library,G84 8EB,56.00563,-4.73746,Argyll and Bute,Scotland,United Kingdom
Lochgilphead Library,PA31 8QX,56.03625,-5.4277,Argyll and Bute,Scotland,United Kingdom
Oban Library,PA34 5AL,56.42139,-5.4761,Argyll and Bute,Scotland,United Kingdom
Rosneath Library,G84 0RJ,56.011,-4.80361,Argyll and Bute,Scotland,United Kingdom
Rothesay Library,PA20 0BX,55.83584,-5.05527,Argyll and Bute,Scotland,United Kingdom
Tarbert Library,PA29 6UA,55.86324,-5.41521,Argyll and Bute,Scotland,United Kingdom
Tobermory Library,PA75 6PB,56.62255,-6.07043,Argyll and Bute,Scotland,United Kingdom
Alloa Library,FK10 1AD,56.1172,-3.79172,Clackmannanshire,Scotland,United Kingdom
Alva Community Access Point,FK12 5AN,56.15172,-3.79804,Clackmannanshire,Scotland,United Kingdom
Sauchie Community Access Point,FK10 3EA,56.12693,-3.78266,Clackmannanshire,Scotland,United Kingdom
Tillicoultry Library,FK13 6AG,56.15283,-3.74679,Clackmannanshire,Scotland,United Kingdom
Tullibody Library,FK10 2SD,56.1333,-3.84222,Clackmannanshire,Scotland,United Kingdom
Annan Library,DG12 6AQ,54.98728,-3.26456,Dumfries and Galloway,Scotland,United Kingdom
Castle Douglas Library,DG7 1AE,54.94157,-3.9282,Dumfries and Galloway,Scotland,United Kingdom
Dalbeattie Library,DG5 4AD,54.93274,-3.8218,Dumfries and Galloway,Scotland,United Kingdom
"Dalry Library, Castle Douglas",DG7 3UP,55.10615,-4.16295,Dumfries and Galloway,Scotland,United Kingdom
Eastriggs Library,DG12 6PZ,54.98626,-3.17746,Dumfries and Galloway,Scotland,United Kingdom
Ewart Library,DG1 1JB,55.07129,-3.60957,Dumfries and Galloway,Scotland,United Kingdom
Gatehouse Library,DG7 2HS,54.88173,-4.18477,Dumfries and Galloway,Scotland,United Kingdom
Georgetown Library,DG1 4EJ,55.06391,-3.58676,Dumfries and Galloway,Scotland,United Kingdom
Gretna Library and Customer Service Centre,DG16 5AQ,54.99444,-3.06732,Dumfries and Galloway,Scotland,United Kingdom
Kirkconnel Library,DG4 6RA,55.37834,-3.99151,Dumfries and Galloway,Scotland,United Kingdom
Kirkcudbright Library,DG6 4PJ,54.83493,-4.05251,Dumfries and Galloway,Scotland,United Kingdom
Langholm Library,DG13 0JQ,55.15082,-2.99826,Dumfries and Galloway,Scotland,United Kingdom
Lochmaben Library,DG11 1NQ,55.12913,-3.44161,Dumfries and Galloway,Scotland,United Kingdom
Lochside Library,DG2 9DF,55.07242,-3.62094,Dumfries and Galloway,Scotland,United Kingdom
Lochthorn Library,DG1 1UF,55.09828,-3.58292,Dumfries and Galloway,Scotland,United Kingdom
Lockerbie Library,DG11 2JL,55.12252,-3.35635,Dumfries and Galloway,Scotland,United Kingdom
Moffat Library,DG10 9HF,55.33315,-3.44476,Dumfries and Galloway,Scotland,United Kingdom
Newton Stewart Library,DG8 6ER,54.95755,-4.48571,Dumfries and Galloway,Scotland,United Kingdom
Port William Library,DG8 9SD,54.76114,-4.58371,Dumfries and Galloway,Scotland,United Kingdom
Sanquhar Library,DG4 6DZ,55.36664,-3.92116,Dumfries and Galloway,Scotland,United Kingdom
Stranraer Library,DG9 7LD,54.9049,-5.0266,Dumfries and Galloway,Scotland,United Kingdom
Thornhill Library,DG3 5NW,55.23839,-3.76671,Dumfries and Galloway,Scotland,United Kingdom
Whithorn Library,DG8 8PF,54.73524,-4.41459,Dumfries and Galloway,Scotland,United Kingdom
Wigtown Library,DG8 9JH,54.86856,-4.4414,Dumfries and Galloway,Scotland,United Kingdom
Ardler Community Library,DD2 3TP,56.48799,-3.01418,Dundee,Scotland,United Kingdom
Arthurstone Community Library,DD4 6RT,56.4695,-2.95787,Dundee,Scotland,United Kingdom
Charleston Community Centre and Library,DD2 4NL,56.47374,-3.03502,Dundee,Scotland,United Kingdom
Coldside Community Library,DD3 7SE,56.47453,-2.98046,Dundee,Scotland,United Kingdom
Douglas Community and Library Centre,DD4 8SD,56.47919,-2.90435,Dundee,Scotland,United Kingdom
Dundee City Council. Central Library,DD1 1DB,56.46459,-2.96925,Dundee,Scotland,United Kingdom
Dundee City Council. HUB Community Centre and Library,DD4 8ES,56.48287,-2.93482,Dundee,Scotland,United Kingdom
Fintry Community Library,DD4 9EW,56.49096,-2.94558,Dundee,Scotland,United Kingdom
Kirkton Community Centre and Library,DD3 0AX,56.48746,-2.98667,Dundee,Scotland,United Kingdom
Lochee Community Library,DD2 3AU,56.47099,-3.00875,Dundee,Scotland,United Kingdom
Menzieshill Community Centre and Library,DD2 4TQ,56.46687,-3.03842,Dundee,Scotland,United Kingdom
Whitfield Community Library & Learning Centre,DD4 0HU,56.48961,-2.91726,Dundee,Scotland,United Kingdom
Blackness Community Library,DD2 1EJ,56.45679,-2.99686,Dundee,Scotland,United Kingdom
Broughty Ferry Community Library,DD5 2HN,56.46833,-2.87467,Dundee,Scotland,United Kingdom
Auchinleck Library,KA18 2JY,55.47309,-4.29139,East Ayrshire,Scotland,United Kingdom
Burns House Library,KA5 5BZ,55.51604,-4.37983,East Ayrshire,Scotland,United Kingdom
Crosshouse Library,KA2 0LE,55.61189,-4.54803,East Ayrshire,Scotland,United Kingdom
Cumnock Library,KA18 1LH,55.4527,-4.26083,East Ayrshire,Scotland,United Kingdom
Darvel Library,KA17 0AQ,55.60969,-4.28367,East Ayrshire,Scotland,United Kingdom
Drongan Library,KA6 7BY,55.43289,-4.45874,East Ayrshire,Scotland,United Kingdom
East Ayrshire Leisure. Dick Institute,KA1 3BU,55.60852,-4.48964,East Ayrshire,Scotland,United Kingdom
Galston Library,KA4 8HQ,55.60064,-4.37788,East Ayrshire,Scotland,United Kingdom
Newmilns Library,KA16 9DQ,55.60738,-4.32431,East Ayrshire,Scotland,United Kingdom
Patna Community Library,KA6 7LY,55.36228,-4.50112,East Ayrshire,Scotland,United Kingdom
Stewarton Library,KA3 5AP,55.68204,-4.51552,East Ayrshire,Scotland,United Kingdom
Whatriggs Library,KA1 3SZ,55.5903,-4.48334,East Ayrshire,Scotland,United Kingdom
Bishopbriggs Library,G64 2LX,55.90616,-4.22341,East Dunbartonshire,Scotland,United Kingdom
Bearsden Library,G61 3QT,55.92008,-4.33482,East Dunbartonshire,Scotland,United Kingdom
Craighead Library,G66 8DL,55.9658,-4.1603,East Dunbartonshire,Scotland,United Kingdom
Lennoxtown Library,G66 7JJ,55.97448,-4.20201,East Dunbartonshire,Scotland,United Kingdom
Lenzie Library,G66 5BG,55.92015,-4.15677,East Dunbartonshire,Scotland,United Kingdom
Milngavie Library,G62 8PN,55.94311,-4.32061,East Dunbartonshire,Scotland,United Kingdom
Westerton Library,G61 1NZ,55.90706,-4.33684,East Dunbartonshire,Scotland,United Kingdom
William Patrick Library,G66 1AD,55.94155,-4.15904,East Dunbartonshire,Scotland,United Kingdom
Dunbar Library,EH42 1DX,55.99989,-2.51986,East Lothian,Scotland,United Kingdom
East Linton Library,EH40 3BX,55.98874,-2.65724,East Lothian,Scotland,United Kingdom
Gullane Library,EH31 2AF,56.03309,-2.82922,East Lothian,Scotland,United Kingdom
Haddington Library,EH41 3DX,55.9552,-2.7789,East Lothian,Scotland,United Kingdom
John Gray Centre Library,EH41 3PJ,55.9607,-2.7743,East Lothian,Scotland,United Kingdom
Longniddry Library,EH32 0LW,55.97695,-2.89593,East Lothian,Scotland,United Kingdom
Musselburgh Library,EH21 6AG,55.9426,-3.05567,East Lothian,Scotland,United Kingdom
North Berwick Library,EH39 4JU,56.0587,-2.7151,East Lothian,Scotland,United Kingdom
Ormiston Library,EH35 5LQ,55.91116,-2.94277,East Lothian,Scotland,United Kingdom
Port Seton Library,EH32 0BG,55.9694,-2.94797,East Lothian,Scotland,United Kingdom
Prestonpans Library,EH32 9NX,55.95874,-2.98144,East Lothian,Scotland,United Kingdom
Tranent Library,EH33 1AE,55.94502,-2.95351,East Lothian,Scotland,United Kingdom
Wallyford Library,EH21 8FF,,,East Lothian,Scotland,United Kingdom
Barrhead Community Library,G78 1SW,55.8019,-4.38955,East Renfrewshire,Scotland,United Kingdom
Eaglesham Community Library,G76 0LH,55.74174,-4.2755,East Renfrewshire,Scotland,United Kingdom
Mearns Community Library,G77 6EZ,55.77309,-4.33303,East Renfrewshire,Scotland,United Kingdom
Neilston Community Library,G78 3NN,55.78565,-4.42301,East Renfrewshire,Scotland,United Kingdom
Uplawmoor Community Library,G78 4AD,55.76431,-4.49398,East Renfrewshire,Scotland,United Kingdom
Balerno Library,EH14 7EQ,55.88405,-3.33857,Edinburgh,Scotland,United Kingdom
Balgreen Library,EH11 3AT,55.93732,-3.24837,Edinburgh,Scotland,United Kingdom
Blackhall Library,EH4 5EG,55.96166,-3.26115,Edinburgh,Scotland,United Kingdom
Colinton Library,EH13 0BQ,55.90661,-3.25127,Edinburgh,Scotland,United Kingdom
Corstorphine Library,EH12 7HD,55.94192,-3.28153,Edinburgh,Scotland,United Kingdom
Craigmillar Library,EH16 4DS,55.93324,-3.13632,Edinburgh,Scotland,United Kingdom
Currie Library,EH14 5NX,55.8964,-3.30951,Edinburgh,Scotland,United Kingdom
Drumbrae Library,EH4 7FE,55.95542,-3.28755,Edinburgh,Scotland,United Kingdom
Dalkeith Library,EH22 1AE,55.89307,-3.07014,,,
Edinburgh Central Library,EH1 1RF,55.9495,-3.18985,Edinburgh,Scotland,United Kingdom
Fountainbridge Library,EH11 1BG,55.94006,-3.21834,Edinburgh,Scotland,United Kingdom
Gilmerton Library,EH17 8RG,55.90532,-3.13417,Edinburgh,Scotland,United Kingdom
Granton Library,EH5 1DD,55.97692,-3.22476,Edinburgh,Scotland,United Kingdom
